Altezza;Peso;Giocatore;Squadra
186;78;G.Gonzalez;Palermo
183;74;De Sciglio;Milan
180;79;Quagliarella;Sampdoria
175;75;Rincon;Genoa
178;74;Eder;Inter
184;76;Pandev;Genoa
174;73;Rossi;Fiorentina
181;73;Giannetti;Cagliari
186;86;Sorrentino;Chievo
183;75;Grassi;Atalanta
191;78;Perisan;Udinese
181;66;Alex Sandro;Juventus
180;72;Toledo;Fiorentina
182;78;Meggiorini;Chievo
189;74;Gyomber;Pescara
188;75;Sampirisi;Crotone
186;77;Aquilani;Pescara
183;79;Gobbi;Chievo
181;66;Lazovic;Genoa
182;77;Zambelli;Empoli
184;74;Fofana;Udinese
177;68;Zampano;Pescara
182;70;Zappacosta;Torino
182;79;Widmer;Udinese
184;79;Antonelli;Milan
189;79;Karnezis;Udinese
190;80;Colombo;Cagliari
172;68;Barella;Cagliari
183;79;Radu;Lazio
180;70;Aramu;Torino
185;77;Gastaldello;Bologna
183;77;Prce;Lazio
180;77;Biondini;Sassuolo
182;78;Castro;Chievo
169;61;Mertens;Napoli
183;74;Fazzi;Crotone
190;87;Sardo;Chievo
183;75;Bernardeschi;Fiorentina
182;78;P.Pereira;Sampdoria
189;82;Consigli;Sassuolo
181;79;Kraft;Bologna
177;67;Ajeti;Torino
184;72;Patric;Lazio
178;73;Callejon;Napoli
186;82;Cosic;Empoli
188;77;Gagliardini;Atalanta
180;73;Rog;Napoli
185;79;Pettinari;Pescara
182;77;Mattiello;Juventus
178;78;De Paul;Udinese
183;84;Rispoli;Palermo
190;85;Rudiger;Roma
186;81;Da Costa;Bologna
180;79;Floccari;Bologna
187;80;Rafael B.;Cagliari
182;69;Ninkovic;Genoa
185;76;Juan Jesus;Roma
180;70;Verre;Pescara
184;74;Krunic;Empoli
181;73;Aleesami;Palermo
186;82;Torosidis;Bologna
187;82;Rossettini;Torino
195;90;Viviano;Sampdoria
187;88;Carrizo;Inter
178;69;Lapadula;Milan
185;79;Rigoni;Chievo
185;78;De Silvestri;Torino
185;86;Lezzerini;Fiorentina
175;70;Chiesa;Fiorentina
182;70;Lodi;Udinese
173;73;Banega;Inter
178;70;De Giorgio;Crotone
192;90;Spolli;Chievo
177;69;Dybala;Juventus
184;83;De Rossi;Roma
183;80;Vaseli;Empoli
182;77;Punzi;Palermo
183;77;Vinicius;Lazio
183;72;Basta;Lazio
174;63;Capone;Atalanta
185;78;Castan;Torino
168;58;Sensi;Sassuolo
192;82;Suagher;Atalanta
176;71;Obi;Torino
184;82;Masiello;Atalanta
185;78;Lobont;Roma
184;79;Maggio;Napoli
180;70;Parigini;Chievo
178;77;Fiamozzi;Genoa
187;85;Pezzella;Palermo
183;78;Penaranda;Udinese
181;80;Campagnaro;Pescara
177;79;Gakpé;Genoa
184;80;Falcinelli;Crotone
175;74;Allan;Napoli
186;80;Lamanna;Genoa
180;80;Ntcham;Genoa
197;80;Balogh;Palermo
185;80;Berni;Inter
180;75;Zielinski;Napoli
183;80;Benassi;Torino
176;63;Kums;Udinese
190;88;Paletta;Milan
186;78;Strakosha;Lazio
171;61;Verdi;Bologna
189;85;Khedira;Juventus
189;81;Bruno Alves;Cagliari
183;72;Kean;Juventus
185;79;Avelar;Torino
189;85;Oikonomou;Bologna
184;79;Tomovic;Fiorentina
180;71;Balic;Udinese
178;67;Armenakas;Udinese
178;63;Biglia;Lazio
191;80;Audero;Juventus
176;72;Caprari;Pescara
187;80;Andreolli;Inter
188;85;Petagna;Atalanta
169;65;Sau;Cagliari
181;70;Lucas Evangelista;Udinese
182;81;Burdisso;Genoa
187;84;Chiellini;Juventus
188;83;Cordaz;Crotone
175;80;Cassano;Sampdoria
180;77;Izco;Chievo
176;70;Calabria;Milan
184;79;Gilardino;Empoli
180;75;Lombardi;Lazio
186;78;Strinic;Napoli
186;78;Felipe;Udinese
188;82;Ely;Milan
183;80;Matri;Sassuolo
178;79;Muriel;Sampdoria
182;73;Biraschi;Genoa
176;69;Suso;Milan
180;76;Hernanes;Juventus
191;83;Buffon;Juventus
186;85;Stanley;Sampdoria
183;76;Kone;Udinese
186;82;C.Zapata;Milan
176;72;Zarate;Fiorentina
188;77;Barba;Empoli
184;82;Higuain;Juventus
188;88;Fulignati;Palermo
180;75;D'Ambrosio;Inter
182;72;Cabezas;Atalanta
178;72;Capezzi;Crotone
175;70;Felipe Anderson;Lazio
188;80;Astori;Fiorentina
188;92;Reina;Napoli
195;81;Ranocchia;Inter
184;76;Conti;Atalanta
172;65;Hagi;Fiorentina
190;74;Fiorillo;Pescara
192;88;Perica;Udinese
173;73;Cristoforo;Fiorentina
179;75;Bertolacci;Milan
187;89;Koulibaly;Napoli
183;80;Vermaelen;Roma
176;76;Hetemaj;Chievo
178;74;Nagy;Bologna
190;82;Albiol;Napoli
188;78;Salcedo;Fiorentina
183;80;Crisetig;Crotone
183;79;Jovetic;Inter
177;73;Cofie;Genoa
170;70;Martínez;Torino
177;72;Barberis;Crotone
179;75;Bruno Fernandes;Sampdoria
178;66;Stoian;Crotone
180;64;Murru;Cagliari
184;79;Tounkara;Lazio
182;77;Montolivo;Milan
180;80;Tello;Empoli
182;77;Sosa;Milan
175;71;Buchel;Empoli
181;78;Praet;Sampdoria
183;77;Bressan;Chievo
192;87;Sportiello;Atalanta
190;86;Coda;Pescara
188;85;Marcos Alonso;Fiorentina
185;85;Immobile;Lazio
181;81;Simeone;Genoa
185;76;Borriello;Cagliari
176;63;Emerson;Roma
175;72;Salah;Roma
175;66;Brugman;Pescara
181;77;Freuler;Atalanta
175;68;Croce;Empoli
192;84;Neto;Juventus
188;77;Hoedt;Lazio
196;84;Szczesny;Roma
180;68;Krejci;Bologna
186;81;Gabbiadini;Napoli
184;76;Mazzitelli;Sassuolo
188;78;De Vrij;Lazio
175;68;Dioussé;Empoli
182;71;Luiz Adriano;Milan
187;81;Chochev;Palermo
194;92;Berisha;Atalanta
178;70;Vives;Torino
176;75;Isla;Cagliari
184;76;Obran;Genoa
194;82;Zima;Genoa
180;72;Candreva;Inter
179;77;Defrel;Sassuolo
184;84;Minala;Lazio
186;80;Badelj;Fiorentina
190;87;Pesic;Atalanta
196;86;Gomis;Bologna
181;77;Bacca;Milan
195;85;Krapikas;Sampdoria
182;78;Salifu;Fiorentina
186;83;Santon;Inter
178;71;Pasqual;Empoli
184;78;Morganella;Palermo
180;70;Maccarone;Empoli
174;81;Armero;Udinese
187;80;Kalinic;Fiorentina
177;73;Biabiany;Inter
178;65;Tello;Fiorentina
185;85;Babacar;Fiorentina
186;80;Zapata;Udinese
184;73;Joao Pedro;Cagliari
173;65;D'Alessandro;Atalanta
181;72;Belotti;Torino
169;65;José Mauri;Empoli
176;68;Leitner;Lazio
188;78;Romagnoli;Milan
186;80;Fornasier;Pescara
182;71;Yao;Inter
187;73;Gustafson;Torino
173;70;De Guzman;Chievo
186;83;Rafael C.;Napoli
183;78;Tonelli;Napoli
171;71;Medel;Inter
185;83;Cannavaro;Sassuolo
177;75;Dodò;Sampdoria
188;78;Rugani;Juventus
190;84;Viscovo;Crotone
185;71;Valdifiori;Torino
180;79;Veloso;Genoa
185;86;Terranova;Sassuolo
183;77;Kishna;Lazio
183;72;Berardi;Sassuolo
172;70;Badu;Udinese
184;74;Diawara;Napoli
191;86;Dragowski;Fiorentina
183;77;Lichtsteiner;Juventus
182;73;Diks;Fiorentina
190;80;Sarr;Bologna
181;71;Di Gennaro;Cagliari
183;78;Ragusa;Sassuolo
169;62;Iturbe;Roma
183;78;Floro Flores;Chievo
172;68;Morleo;Bologna
182;78;Raimondi;Atalanta
184;70;Lasicki;Napoli
195;85;Fazio;Roma
187;80;Caldara;Atalanta
179;70;Acquah;Torino
188;78;Pavoletti;Genoa
182;75;Honda;Milan
182;77;Konko;Atalanta
191;85;Wallace;Lazio
186;83;Ceppitelli;Cagliari
184;79;Gentiletti;Genoa
171;73;Cissokho;Genoa
168;64;Torreira;Sampdoria
173;67;Florenzi;Roma
186;85;Gustavo Gomez;Milan
182;70;Hysaj;Napoli
195;84;Cojocaru;Crotone
188;77;Antei;Sassuolo
182;70;Bahebeck;Pescara
180;68;Pjanic;Juventus
180;69;Sallai;Palermo
187;75;Inglese;Chievo
183;75;Dell'Orco;Sassuolo
178;74;Zonta;Inter
186;78;Milik;Napoli
185;80;Moretti;Torino
179;81;Boyé;Torino
181;74;Ljajic;Torino
180;74;Giuliano;Palermo
175;79;Pepe;Pescara
184;75;Bruno;Crotone
181;68;Brozovic;Inter
185;75;Toloi;Atalanta
187;79;Puglisi;Empoli
178;68;Zanimacchia;Genoa
190;89;Stendardo;Atalanta
181;75;Erkin;Inter
191;89;Cesar;Chievo
184;80;Keita;Lazio
183;76;Pegolo;Sassuolo
183;76;Kessié;Atalanta
193;89;Handanovic;Inter
182;75;Muric;Pescara
175;74;Cigarini;Sampdoria
177;73;Maiello;Empoli
179;74;Iemmello;Sassuolo
187;84;Skorupski;Empoli
184;75;Chiriches;Napoli
188;82;Goldaniga;Palermo
188;85;Trotta;Crotone
174;68;Bruno;Pescara
182;80;Sanchez;Fiorentina
178;75;Di Francesco;Bologna
191;91;Allison;Roma
174;73;Renzetti;Genoa
178;65;Tonev;Crotone
186;83;Hallfredsson;Udinese
186;78;Claiton;Crotone
187;81;Puggioni;Sampdoria
186;79;Biraghi;Pescara
163;59;L.Insigne;Napoli
181;73;Eramo;Sampdoria
186;82;Andelkovic;Palermo
179;73;Dzemaili;Bologna
190;84;Posevac;Palermo
180;81;Migliaccio;Atalanta
186;75;Spinazzola;Atalanta
179;73;Gilberto;Fiorentina
184;80;Bellusci;Empoli
177;76;Lukaku;Lazio
189;79;Angella;Udinese
183;77;Lukic;Torino
182;76;Nestorovski;Palermo
179;73;Padoin;Cagliari
184;74;Niang;Milan
186;88;Kurtic;Atalanta
175;70;Donsah;Bologna
186;79;Barzagli;Juventus
184;75;Maietta;Bologna
173;72;Laurini;Empoli
173;66;Benali;Pescara
191;77;Missiroli;Sassuolo
192;75;Sadiq;Bologna
191;78;Dainelli;Chievo
175;70;Palacio;Inter
187;80;Skriniar;Sampdoria
178;72;Destro;Bologna
186;83;Pulgar;Bologna
188;76;Kondogbia;Inter
181;79;Bouy;Palermo
172;65;R.Insigne;Napoli
181;79;Magnanelli;Sassuolo
187;81;Vecino;Fiorentina
175;76;Edenilson;Genoa
190;85;Festa;Crotone
180;75;Diamanti;Palermo
182;76;Paredes;Roma
189;78;Thereau;Udinese
185;77;Ali Adnan;Udinese
165;68;A.Gomez;Atalanta
179;74;Mesbah;Crotone
184;77;Quaison;Palermo
181;75;Icardi;Inter
193;79;Mirante;Bologna
186;80;Radovanovic;Chievo
180;77;Gnoukouri;Inter
183;81;Heurtaux;Udinese
192;93;Vargic;Lazio
185;75;Jallow;Chievo
180;80;Jajalo;Palermo
186;73;Schick;Sampdoria
183;80;Melo;Inter
176;73;Linetty;Sampdoria
187;75;Ceccherini;Crotone
179;70;Perotti;Roma
182;76;Rohden;Crotone
178;68;Carmona;Atalanta
190;82;Buonucci;Juventus
185;79;Regini;Sampdoria
173;66;Farias;Cagliari
188;75;Satalino;Fiorentina
188;70;Mbaye;Bologna
182;73;Palladino;Crotone
176;66;Cuadrado;Juventus
186;81;Pjaca;Juventus
189;83;Manolas;Roma
187;84;Ocampos;Genoa
194;92;Marson;Palermo
181;68;Pereira;Empoli
178;77;Pisacane;Cagliari
180;75;Marchese;Genoa
188;80;Rizzo;Bologna
182;79;Rodriguez;Fiorentina
185;72;Rigoni;Genoa
187;84;Mandzukic;Juventus
185;76;Melchiorri;Cagliari
190;79;Cuomo;Crotone
178;78;Duncan;Sassuolo
182;81;Pigliacelli;Pescara
174;61;Ewandro;Udinese
181;70;Vangioni;Milan
174;63;Pucciarelli;Empoli
188;83;Marchetti;Lazio
187;79;Perisic;Inter
184;83;Brivio;Genoa
196;89;Salamon;Cagliari
184;78;Hiljemark;Palermo
191;82;Padelli;Torino
184;80;Rosi;Crotone
183;76;Izzo;Genoa
179;73;Carbonero;Sampdoria
178;72;Fernandez;Fiorentina
183;79;Hamsik;Napoli
186;78;Strootman;Roma
180;71;Faraoni;Udinese
184;81;Birsa;Chievo
177;70;Zampano;Crotone
180;73;Nicoletti;Crotone
185;78;Murgia;Lazio
185;80;Capuano;Cagliari
190;82;Bassi;Atalanta
191;80;Mazzini;Atalanta
176;65;Nainggolan;Roma
190;79;Ilicic;Fiorentina
189;85;Zukanovic;Atalanta
183;81;Danilo;Udinese
180;79;Barreto;Sampdoria
190;85;Mchedlidze;Empoli
180;75;Bruno Henrique;Palermo
176;72;Vitiello;Palermo
196;90;Donnarumma;Milan
195;88;Tatarusanu;Fiorentina
188;80;Ghoulam;Napoli
180;65;Jorgingo;Napoli
175;66;Gerson;Roma
188;80;Samir;Udinese
187;83;Pomini;Sassuolo
188;75;Letschert;Sassuolo
171;64;Dani Alves;Juventus
182;80;Paloschi;Atalanta
186;84;Kucka;Milan
187;76;Storari;Cagliari
178;71;Crescenzi;Pescara
175;75;Dimarco;Empoli
198;84;Simy;Crotone
186;77;Pellegrini;Sassuolo
167;60;Giaccherini;Napoli
186;81;Pelagotti;Empoli
192;75;Tozzo;Sampdoria
181;74;Salzano;Crotone
184;75;Parolo;Lazio
181;72;Maxi Olivera;Fiorentina
180;82;Totti;Roma
177;73;Bastien;Chievo
183;70;Barreca;Torino
184;73;Jankto;Udinese
190;84;Munari;Cagliari
183;77;Pavlovic;Sampdoria
175;76;Pellissier;Chievo
190;80;Budimir;Sampdoria
179;76;Marchisio;Juventus
195;92;Aldegani;Pescara
183;74;Luis Alberto;Lazio
180;73;Nalini;Crotone
189;85;Benatia;Juventus
193;84;Dzeko;Roma
182;76;Lemina;Juventus
182;76;Manaj;Pescara
185;80;Gamberini;Chievo
185;74;El Kaddouri;Napoli
178;78;Asamoah;Juventus
180;70;Cataldi;Lazio
185;75;Scuffet;Udinese
186;70;Radu;Inter
184;78;Frey;Chievo
184;73;Ionita;Cagliari
189;90;De Maio;Fiorentina
188;85;Zuparic;Pescara
185;84;Silvestre;Sampdoria
178;72;El Shaarawy;Roma
181;76;Ansaldi;Inter
180;72;Lo Faso;Palermo
185;70;Tumminello;Roma
191;80;Hart;Torino
184;65;Bittante;Cagliari
183;78;Lulic;Lazio
174;73;Marilungo;Empoli
178;70;Sturaro;Juventus
175;63;Ricci;Sassuolo
175;73;Borja Valero;Fiorentina
186;78;Cristante;Pescara
193;89;Gabriel;Milan
184;77;Acquafresca;Bologna
181;77;Poli;Milan
177;77;Palombo;Sampdoria
180;73;Taider;Bologna
174;69;Falque;Torino
193;82;Maksimovic;Napoli
189;82;Ferrari;Crotone
193;89;Bizzarri;Pescara
185;73;Tchanturia;Empoli
192;84;Helander;Bologna
191;86;Tachtsidis;Cagliari
183;70;Ferrari;Bologna
180;75;Vivani;Bologna
182;73;Costa;Empoli
187;86;Krajnc;Sampdoria
191;87;Rajkovic;Palermo
182;78;Murillo;Inter
182;82;Molinaro;Torino
183;78;Lirola;Sassuolo
184;73;Saponara;Empoli
181;75;Sala;Sampdoria
190;80;Seculin;Chievo
171;65;Politano;Sassuolo
185;82;Munoz;Genoa
191;87;Wagué;Udinese
177;73;Bruno Peres;Roma
182;70;Baselli;Torino
191;87;Masina;Bologna
170;68;Nagatomo;Inter
186;80;Djordjevic;Lazio
175;65;Arras;Cagliari
178;72;Mati Fernandez;Milan
178;66;Laxalt;Genoa
174;65;Mounier;Bologna
190;88;Maxi Lopez;Torino
183;78;Gazzola;Sassuolo
180;73;Abate;Milan
167;64;Mitrita;Pescara
184;79;Cionek;Palermo
173;76;Evra;Juventus
192;83;Miangue;Inter
186;78;Pasalic;Milan
177;71;Embalo;Palermo
188;77;Perin;Genoa
170;68;Bentivegna;Palermo
175;70;Memushaj;Pescara
175;71;Vitturini;Pescara
188;84;Alvarez;Sampdoria
191;85;Dussenne;Crotone
186;78;Miranda;Inter
185;75;Locatelli;Milan
185;75;Sepe;Napoli
191;76;Milinkovic-Savic;Lazio
184;78;Gazzi;Palermo
179;76;Trajkovski;Palermo
187;78;Pinilla;Atalanta
183;75;Dessena;Cagliari
183;79;Matos;Udinese
175;71;Morrison;Lazio
184;75;De Ceglie;Juventus
192;88;Acerbi;Sassuolo
188;85;Gnahoré;Crotone
179;72;Joao Mario;Inter
180;75;Bonaventura;Milan
181;74;Dramé;Atalanta
184;78;Martella;Crotone
182;81;Cacciatore;Chievo
181;72;Djuricic;Sampdoria
170;67;Mario Rui;Roma
188;82;Peluso;Sassuolo
181;79;Bovo;Torino
183;74;Milic;Fiorentina
